year,month,date,"longitude (degree: E+, W-)","latitude (degree: N+, S-)",Level 0 (pieces/m3),ratio (fragment<5 mm),Level 1 (pieces/m3),windspeed (m/s),significant wave height (m),Level 2p (pieces/km2),Level 2w1 (g/km2),Level 2w2 (g/km2),No. in Table 1
2001,10,30,-105.82,18.18,0.00108,0.83,0.000896,4.1,1.67,833.0,19.7,0.334,1
2001,10,30,-105.74,17.77,0.00108,0.83,0.000896,3.59,1.77,775.0,18.3,0.305,1
2001,10,31,-104.23,17.45,0.0,0.83,0.0,5.71,1.73,0.0,0.0,0.0,1
2001,10,31,-102.62,17.25,0.00864,0.83,0.00717,1.97,1.53,2950.0,69.8,1.56,1
2001,11,1,-101.36,17.04,0.0,0.83,0.0,1.61,1.33,0.0,0.0,0.0,1
2001,11,1,-99.24,16.33,0.0108,0.83,0.00896,4.0,1.28,6220.0,147.0,3.88,1
2001,11,1,-98.47,15.78,0.00423,0.83,0.00351,2.82,1.31,1760.0,41.6,0.83,1
2001,11,3,-97.89,15.41,0.0,0.83,0.0,1.22,1.44,0.0,0.0,0.0,1
2001,11,3,-96.5,14.41,0.00324,0.83,0.00269,1.76,1.69,1090.0,25.7,0.462,1
2001,11,4,-96.14,13.8,0.0,0.83,0.0,3.46,1.99,0.0,0.0,0.0,1
2001,11,5,-93.89,11.33,0.0,0.83,0.0,2.88,1.61,0.0,0.0,0.0,1
2001,11,6,-93.01,10.26,0.00216,0.83,0.00179,1.63,1.9,751.0,17.8,0.294,1
2001,11,7,-92.97,9.43,0.0,0.83,0.0,4.18,2.11,0.0,0.0,0.0,1
2001,11,7,-92.56,8.7,0.0,0.83,0.0,5.71,2.11,0.0,0.0,0.0,1
2001,11,9,-89.24,6.79,0.00108,0.83,0.000896,5.65,2.17,1490.0,35.3,0.678,1
2001,11,9,-87.77,6.32,0.0,0.83,0.0,5.49,2.11,0.0,0.0,0.0,1
2001,11,9,-87.09,5.89,0.00216,0.83,0.00179,6.16,2.17,3260.0,77.2,1.76,1
2001,11,9,-87.04,5.59,0.0,0.83,0.0,6.16,2.17,0.0,0.0,0.0,1
2001,11,13,-86.96,5.62,0.0,0.83,0.0,8.23,1.89,0.0,0.0,0.0,1
2001,11,14,-85.93,6.97,0.00108,0.83,0.000896,8.12,1.95,1930.0,45.6,0.929,1
2001,11,14,-85.75,7.73,0.0,0.83,0.0,7.19,1.77,0.0,0.0,0.0,1
2001,11,15,-85.51,7.99,0.0,0.83,0.0,6.8,1.97,0.0,0.0,0.0,1
2001,11,15,-85.33,8.45,0.00432,0.83,0.00359,5.36,1.77,4610.0,109.0,2.69,1
2001,11,16,-84.95,9.39,0.0,0.83,0.0,5.23,1.66,0.0,0.0,0.0,1
2001,11,16,-84.99,9.71,0.0,0.83,0.0,5.23,1.66,0.0,0.0,0.0,1
2001,11,28,-85.23,8.97,0.0,0.83,0.0,1.52,1.89,0.0,0.0,0.0,1
2001,11,29,-87.0,7.34,0.00102,0.83,0.000847,2.06,1.72,407.0,9.64,0.139,1
2001,11,29,-86.51,6.13,0.00206,0.83,0.00171,2.48,1.81,1040.0,24.6,0.437,1
2001,11,30,-86.73,5.97,0.0,0.83,0.0,5.16,1.89,0.0,0.0,0.0,1
2001,11,30,-87.56,5.0,0.0,0.83,0.0,6.11,1.92,0.0,0.0,0.0,1
2001,12,1,-88.07,3.73,0.00108,0.83,0.000896,8.9,2.28,2470.0,58.5,1.26,1
2001,12,1,-88.1,3.01,0.0,0.83,0.0,8.9,2.28,0.0,0.0,0.0,1
2001,12,2,-89.06,1.74,0.0,0.83,0.0,6.64,2.05,0.0,0.0,0.0,1
2001,12,3,-90.11,1.15,0.0,0.83,0.0,7.28,2.03,0.0,0.0,0.0,1
2001,12,3,-89.33,1.17,0.0,0.83,0.0,8.12,1.99,0.0,0.0,0.0,1
2001,12,4,-89.79,0.07,0.0,0.83,0.0,8.63,2.09,0.0,0.0,0.0,1
2001,12,5,-90.08,-0.51,0.0,0.83,0.0,6.66,2.07,0.0,0.0,0.0,1
2001,12,8,-90.26,-0.87,0.0,0.83,0.0,5.7,1.53,0.0,0.0,0.0,1
2001,12,9,-90.43,-1.21,0.0,0.83,0.0,2.77,1.86,0.0,0.0,0.0,1
2001,12,9,-90.84,-1.07,0.0,0.83,0.0,2.77,1.86,0.0,0.0,0.0,1
2001,12,10,-91.96,-1.13,0.0,0.83,0.0,4.1,1.76,0.0,0.0,0.0,1
2001,12,11,-93.02,-0.93,0.0,0.83,0.0,4.07,1.55,0.0,0.0,0.0,1
2001,12,11,-93.76,-0.98,0.0,0.83,0.0,4.07,1.55,0.0,0.0,0.0,1
2001,12,12,-96.0,-1.52,0.0,0.83,0.0,4.69,1.56,0.0,0.0,0.0,1
2001,12,13,-97.36,-1.84,0.0,0.83,0.0,4.98,1.61,0.0,0.0,0.0,1
2001,12,13,-98.44,-2.04,0.0,0.83,0.0,5.94,1.71,0.0,0.0,0.0,1
2001,12,14,-99.82,-2.2,0.0,0.83,0.0,6.06,1.69,0.0,0.0,0.0,1
2001,12,14,-100.79,-2.33,0.0,0.83,0.0,6.19,1.73,0.0,0.0,0.0,1
2001,12,15,-101.99,-2.53,0.0,0.83,0.0,4.47,1.61,0.0,0.0,0.0,1
2001,12,15,-103.19,-2.97,0.0,0.83,0.0,4.76,1.68,0.0,0.0,0.0,1
2001,12,16,-104.46,-3.54,0.0,0.83,0.0,5.43,2.06,0.0,0.0,0.0,1
2001,12,16,-105.63,-4.02,0.0,0.83,0.0,5.6,2.09,0.0,0.0,0.0,1
2001,12,17,-106.96,-4.44,0.0,0.83,0.0,6.18,2.1,0.0,0.0,0.0,1
2001,12,17,-107.64,-4.67,0.0,0.83,0.0,6.55,2.08,0.0,0.0,0.0,1
2001,12,18,-109.12,-4.83,0.0,0.83,0.0,7.04,1.77,0.0,0.0,0.0,1
2001,12,18,-109.94,-4.98,0.0,0.83,0.0,7.04,1.77,0.0,0.0,0.0,1
2001,12,18,-111.21,-5.73,0.0,0.83,0.0,7.13,1.83,0.0,0.0,0.0,1
2001,12,19,-111.23,-5.73,0.0,0.83,0.0,7.5,1.78,0.0,0.0,0.0,1
2001,12,19,-111.24,-5.76,0.0,0.83,0.0,7.5,1.78,0.0,0.0,0.0,1
2001,12,19,-111.26,-5.77,0.0,0.83,0.0,7.5,1.78,0.0,0.0,0.0,1
2001,12,19,-111.27,-5.78,0.0,0.83,0.0,7.5,1.78,0.0,0.0,0.0,1
2001,12,19,-111.28,-5.79,0.0,0.83,0.0,7.5,1.78,0.0,0.0,0.0,1
2001,12,19,-111.29,-5.81,0.0,0.83,0.0,7.5,1.78,0.0,0.0,0.0,1
2001,12,19,-111.97,-5.98,0.00432,0.83,0.00359,7.5,1.78,6500.0,154.0,4.09,1
2001,12,20,-113.34,-6.44,0.0,0.83,0.0,7.41,1.95,0.0,0.0,0.0,1
2001,12,20,-113.9,-6.66,0.0,0.83,0.0,7.41,1.95,0.0,0.0,0.0,1
2001,12,21,-115.09,-6.96,0.0,0.83,0.0,7.68,2.0,0.0,0.0,0.0,1
2001,12,21,-115.83,-6.99,0.00108,0.83,0.000896,7.68,2.0,1870.0,44.3,0.897,1
2001,12,22,-117.23,-7.39,0.0,0.83,0.0,6.9,2.07,0.0,0.0,0.0,1
2001,12,22,-118.19,-7.5,0.0,0.83,0.0,6.53,2.07,0.0,0.0,0.0,1
2001,12,23,-119.38,-7.7,0.0,0.83,0.0,5.95,1.92,0.0,0.0,0.0,1
2001,12,23,-120.06,-7.73,0.0,0.83,0.0,5.62,1.93,0.0,0.0,0.0,1
2001,12,24,-121.14,-7.97,0.0,0.83,0.0,6.66,1.88,0.0,0.0,0.0,1
2001,12,24,-122.0,-8.23,0.0,0.83,0.0,5.75,1.87,0.0,0.0,0.0,1
2001,12,25,-123.12,-8.53,0.00212,0.83,0.00176,6.23,1.93,2880.0,68.2,1.52,1
2001,12,26,-124.85,-7.92,0.000724,0.83,0.000601,6.57,1.95,1050.0,24.7,0.44,1
2001,12,26,-125.56,-8.13,0.0,0.83,0.0,6.53,1.92,0.0,0.0,0.0,1
2001,12,27,-126.6,-8.56,0.0,0.83,0.0,6.39,1.95,0.0,0.0,0.0,1
2001,12,27,-127.47,-8.69,0.0,0.83,0.0,6.58,1.93,0.0,0.0,0.0,1
2001,12,27,-130.27,-8.67,0.0,0.83,0.0,6.7,1.92,0.0,0.0,0.0,1
2002,2,14,-149.84,-16.96,0.0,0.83,0.0,9.1,2.73,0.0,0.0,0.0,1
2002,2,14,-149.8,-16.32,0.0054,0.83,0.00448,9.1,2.73,15100.0,357.0,11.4,1
2002,2,15,-149.66,-16.1,0.00216,0.83,0.00179,8.44,2.91,5980.0,141.0,3.69,1
2002,2,15,-149.55,-15.9,0.00102,0.83,0.000847,8.15,2.86,2680.0,63.5,1.39,1
2002,2,16,-148.96,-16.11,0.0,0.83,0.0,9.84,2.87,0.0,0.0,0.0,1
2002,2,16,-148.58,-15.91,0.0,0.83,0.0,11.5,2.87,0.0,0.0,0.0,1
2002,2,16,-148.36,-15.87,0.00107,0.83,0.000888,11.5,2.87,3980.0,94.2,2.25,1
2002,2,16,-148.31,-15.78,0.0,0.83,0.0,11.5,2.87,0.0,0.0,0.0,1
2002,2,16,-148.31,-15.84,0.0,0.83,0.0,11.5,2.87,0.0,0.0,0.0,1
2002,2,17,-148.24,-15.96,0.0,0.83,0.0,8.7,2.47,0.0,0.0,0.0,1
2002,2,17,-148.18,-15.54,0.00324,0.83,0.00269,8.7,2.47,7860.0,186.0,5.16,1
2002,2,18,-147.82,-14.55,0.0,0.83,0.0,6.61,2.15,0.0,0.0,0.0,1
2002,2,18,-147.8,-14.7,0.0,0.83,0.0,6.61,2.15,0.0,0.0,0.0,1
2002,2,18,-147.8,-14.74,0.0,0.83,0.0,6.61,2.15,0.0,0.0,0.0,1
2002,2,20,-147.24,-14.57,0.00108,0.83,0.000896,6.0,1.84,1350.0,31.9,0.6,1
2002,2,20,-146.61,-14.39,0.00108,0.83,0.000896,5.99,1.82,1330.0,31.4,0.588,1
2002,2,20,-146.42,-14.61,0.0,0.83,0.0,5.99,1.82,0.0,0.0,0.0,1
2002,2,21,-146.43,-14.5,0.00216,0.83,0.00179,5.8,1.84,2600.0,61.5,1.34,1
2002,2,21,-146.41,-14.41,0.00216,0.83,0.00179,5.8,1.84,2600.0,61.5,1.34,1
2002,2,21,-146.49,-14.49,0.0,0.83,0.0,5.8,1.84,0.0,0.0,0.0,1
2002,2,21,-146.31,-14.0,0.0,0.83,0.0,6.28,1.83,0.0,0.0,0.0,1
2002,2,22,-145.06,-13.65,0.00309,0.83,0.00256,5.42,1.92,3630.0,86.0,2.01,1
2002,2,24,-142.3,-12.69,0.0,0.83,0.0,6.23,1.82,0.0,0.0,0.0,1
2002,2,24,-141.91,-11.65,0.00216,0.83,0.00179,6.03,1.85,2720.0,64.3,1.41,1
2002,2,24,-141.92,-11.66,0.0,0.83,0.0,6.03,1.85,0.0,0.0,0.0,1
2002,2,24,-141.93,-11.69,0.0,0.83,0.0,6.03,1.85,0.0,0.0,0.0,1
2002,2,24,-141.93,-11.71,0.000692,0.83,0.000574,6.03,1.85,871.0,20.6,0.352,1
2002,2,25,-141.73,-11.54,0.0,0.83,0.0,7.03,1.9,0.0,0.0,0.0,1
2002,2,25,-141.02,-11.69,0.0,0.83,0.0,7.03,1.9,0.0,0.0,0.0,1
2002,2,26,-141.04,-11.77,0.0,0.83,0.0,4.83,1.86,0.0,0.0,0.0,1
2002,2,27,-140.58,-10.89,0.0,0.83,0.0,5.44,1.99,0.0,0.0,0.0,1
2002,2,27,-140.59,-10.06,0.0,0.83,0.0,5.44,1.99,0.0,0.0,0.0,1
2002,2,28,-140.27,-9.32,0.0,0.83,0.0,6.64,2.17,0.0,0.0,0.0,1
2002,2,28,-140.07,-8.66,0.0,0.83,0.0,6.74,2.16,0.0,0.0,0.0,1
2002,3,4,-140.52,-8.39,0.0,0.83,0.0,4.46,1.79,0.0,0.0,0.0,1
2002,3,4,-140.68,-8.09,0.0,0.83,0.0,4.46,1.79,0.0,0.0,0.0,1
2002,3,4,-140.75,-8.01,0.0,0.83,0.0,4.46,1.79,0.0,0.0,0.0,1
2002,3,5,-140.71,-7.9,0.0,0.83,0.0,7.06,1.73,0.0,0.0,0.0,1
2002,3,6,-141.21,-4.84,0.0,0.83,0.0,9.2,1.9,0.0,0.0,0.0,1
2002,3,6,-141.39,-4.02,0.0,0.83,0.0,9.2,1.9,0.0,0.0,0.0,1
2002,3,7,-141.53,-2.89,0.0,0.83,0.0,8.35,2.25,0.0,0.0,0.0,1
2002,3,8,-141.84,-0.99,0.0,0.83,0.0,7.62,2.57,0.0,0.0,0.0,1
2002,3,9,-141.9,0.49,0.0,0.83,0.0,7.84,2.47,0.0,0.0,0.0,1
2002,3,9,-142.01,1.09,0.0,0.83,0.0,8.05,2.49,0.0,0.0,0.0,1
2002,3,9,-142.15,1.7,0.0,0.83,0.0,8.05,2.49,0.0,0.0,0.0,1
2002,3,9,-142.29,1.83,0.0,0.83,0.0,8.05,2.49,0.0,0.0,0.0,1
2002,3,10,-142.56,2.21,0.0,0.83,0.0,6.06,2.34,0.0,0.0,0.0,1
2002,3,11,-143.0,2.79,0.0,0.83,0.0,7.41,2.14,0.0,0.0,0.0,1
2002,3,11,-143.71,3.14,0.0,0.83,0.0,6.5,2.34,0.0,0.0,0.0,1
2002,3,11,-143.98,3.85,0.0,0.83,0.0,6.5,2.34,0.0,0.0,0.0,1
2002,3,11,-143.98,3.83,0.0,0.83,0.0,6.5,2.34,0.0,0.0,0.0,1
2002,3,11,-144.0,3.8,0.0,0.83,0.0,6.5,2.34,0.0,0.0,0.0,1
2002,3,12,-144.02,3.78,0.0,0.83,0.0,8.88,2.66,0.0,0.0,0.0,1
2002,3,12,-144.4,4.99,0.0,0.83,0.0,8.25,2.86,0.0,0.0,0.0,1
2002,3,13,-144.89,6.02,0.0,0.83,0.0,10.1,3.27,0.0,0.0,0.0,1
2002,3,16,-149.8,12.33,0.0,0.83,0.0,8.59,3.03,0.0,0.0,0.0,1
2002,3,17,-150.85,14.55,0.00216,0.83,0.00179,8.3,3.69,7460.0,177.0,4.84,1
2002,3,18,-151.6,16.29,0.00216,0.83,0.00179,7.55,3.82,7020.0,166.0,4.5,1
2002,3,20,-154.98,19.86,0.00216,0.83,0.00179,11.5,3.67,10300.0,244.0,7.17,1
2002,3,21,-155.54,20.57,0.00108,0.83,0.000896,9.05,3.06,3370.0,79.7,1.83,1
2002,4,1,-157.7,20.85,0.00206,0.83,0.00171,6.17,3.86,5540.0,131.0,3.37,1
2002,4,1,-157.38,20.24,0.0154,0.83,0.0128,6.17,3.86,41400.0,980.0,39.2,1
2002,4,2,-157.0,19.62,0.00748,0.83,0.00621,5.37,3.21,14500.0,344.0,10.9,1
2002,4,2,-156.24,19.09,0.0107,0.83,0.00888,5.37,3.21,20800.0,492.0,16.9,1
2002,4,3,-156.72,18.01,0.00544,0.83,0.00452,10.0,2.96,18200.0,432.0,14.4,1
2002,4,3,-157.24,17.23,0.00343,0.83,0.00285,8.27,3.2,10300.0,243.0,7.13,1
2002,4,3,-157.92,16.14,0.0,0.83,0.0,8.22,3.19,0.0,0.0,0.0,1
2002,4,4,-158.46,14.89,0.00345,0.83,0.00286,8.37,2.77,9030.0,214.0,6.11,1
2002,4,5,-158.97,13.98,0.00972,0.83,0.00807,8.2,2.47,22200.0,526.0,18.3,1
2002,4,5,-159.47,13.22,0.00408,0.83,0.00339,8.05,2.48,9170.0,217.0,6.23,1
2002,4,6,-159.95,12.15,0.00212,0.83,0.00176,6.39,2.26,3460.0,81.8,1.89,1
2002,4,6,-160.22,11.37,0.00104,0.83,0.000863,6.73,2.35,1850.0,43.9,0.885,1
2002,4,7,-160.52,10.28,0.0,0.83,0.0,6.85,2.23,0.0,0.0,0.0,1
2002,4,7,-160.68,9.37,0.0018,0.83,0.00149,7.32,2.26,3360.0,79.6,1.83,1
2002,4,7,-160.8,8.7,0.0012,0.83,0.000996,6.71,2.29,2070.0,49.1,1.02,1
2002,4,8,-160.98,6.98,0.0,0.83,0.0,7.25,2.44,0.0,0.0,0.0,1
2002,4,9,-161.56,6.06,0.0,0.83,0.0,8.21,2.58,0.0,0.0,0.0,1
2002,4,9,-161.9,5.76,0.0024,0.83,0.00199,7.58,2.6,5330.0,126.0,3.21,1
2002,4,11,-162.95,6.67,0.00623,0.83,0.00517,8.43,2.59,15300.0,363.0,11.7,1
2002,4,12,-163.92,7.78,0.0,0.83,0.0,8.37,2.55,0.0,0.0,0.0,1
2002,4,12,-164.73,8.89,0.0,0.83,0.0,8.89,2.5,0.0,0.0,0.0,1
2002,4,13,-165.26,9.54,0.0,0.83,0.0,9.03,2.64,0.0,0.0,0.0,1
2002,4,13,-165.95,10.61,0.000982,0.83,0.000815,8.82,2.59,2530.0,59.9,1.29,1
2002,4,14,-166.41,11.8,0.0,0.83,0.0,8.99,2.82,0.0,0.0,0.0,1
2002,4,15,-167.24,14.18,0.0,0.83,0.0,7.96,2.47,0.0,0.0,0.0,1
2002,4,15,-167.65,14.98,0.0,0.83,0.0,7.96,2.47,0.0,0.0,0.0,1
2002,4,16,-168.18,16.03,0.0,0.83,0.0,7.88,2.54,0.0,0.0,0.0,1
2002,4,16,-169.05,16.39,0.0,0.83,0.0,7.99,2.58,0.0,0.0,0.0,1
2002,4,18,-170.01,17.47,0.00185,0.83,0.00154,9.08,2.59,4910.0,116.0,2.9,1
2002,4,18,-170.6,18.54,0.00216,0.83,0.00179,9.15,2.59,5770.0,136.0,3.53,1
2002,4,18,-171.16,19.17,0.0,0.83,0.0,10.6,2.75,0.0,0.0,0.0,1
2002,4,19,-171.91,19.81,0.00111,0.83,0.000921,10.2,2.66,3400.0,80.5,1.86,1
2002,4,21,-174.74,23.89,0.00109,0.83,0.000905,7.68,2.62,2480.0,58.7,1.26,1
2002,4,22,-176.28,26.22,0.023,0.83,0.0191,6.3,2.22,36200.0,857.0,33.3,1
2002,4,23,-177.03,27.55,0.027,0.83,0.0224,6.7,2.18,44400.0,1050.0,42.7,1
2002,4,30,-166.54,26.8,0.178,0.83,0.148,9.18,2.88,530000.0,12500.0,879.0,1
2002,5,1,-165.56,26.24,0.00532,0.83,0.00442,7.41,2.68,11900.0,282.0,8.57,1
2002,5,17,-151.69,32.57,0.176,0.83,0.146,2.94,1.76,103000.0,2440.0,119.0,1
2002,5,17,-151.55,33.93,0.114,0.83,0.0946,2.52,1.78,57500.0,1360.0,58.5,1
2002,5,23,-133.92,44.88,0.00869,0.83,0.00721,8.9,1.27,11100.0,262.0,7.83,1
2002,5,23,-132.29,45.68,0.00454,0.83,0.00377,7.78,1.1,4380.0,104.0,2.53,1
2002,7,1,-122.92,48.2,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,1
2002,7,3,-127.57,49.6,0.0,0.83,0.0,4.66,1.38,0.0,0.0,0.0,1
2002,7,3,-128.33,50.38,0.0,0.83,0.0,3.64,1.42,0.0,0.0,0.0,1
2002,7,4,-129.04,51.04,0.0,0.83,0.0,3.6,1.24,0.0,0.0,0.0,1
2002,7,5,-132.57,52.2,0.0,0.83,0.0,5.67,1.02,0.0,0.0,0.0,1
2002,7,5,-132.76,52.53,0.00648,0.83,0.00538,5.67,1.02,4220.0,99.8,2.41,1
2002,7,6,-133.66,53.07,0.0,0.83,0.0,2.24,0.936,0.0,0.0,0.0,1
2002,7,6,-134.15,53.26,0.0,0.83,0.0,2.92,0.991,0.0,0.0,0.0,1
2002,7,7,-135.67,53.31,0.0,0.83,0.0,1.39,0.91,0.0,0.0,0.0,1
2002,7,7,-135.65,53.43,0.00208,0.83,0.00173,1.39,0.91,297.0,7.02,0.0947,1
2002,7,8,-135.29,54.05,0.0,0.83,0.0,2.37,0.69,0.0,0.0,0.0,1
2002,7,9,-134.72,55.43,0.0,0.83,0.0,8.01,0.77,0.0,0.0,0.0,1
2002,7,10,-134.58,56.61,0.0,0.83,0.0,6.16,1.45,0.0,0.0,0.0,1
2002,7,11,-133.77,57.46,0.0,0.83,0.0,0.0,0.453,0.0,0.0,0.0,1
2002,7,12,-134.05,57.14,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,1
2002,7,12,-135.18,57.51,0.0,0.83,0.0,0.0,1.38,0.0,0.0,0.0,1
2002,7,13,-136.21,57.3,0.0,0.83,0.0,4.45,1.02,0.0,0.0,0.0,1
2002,7,13,-136.23,57.22,0.0,0.83,0.0,4.45,1.02,0.0,0.0,0.0,1
2002,7,14,-136.1,56.88,0.0,0.83,0.0,3.35,0.78,0.0,0.0,0.0,1
2002,7,17,-135.15,56.54,0.0,0.83,0.0,6.49,1.27,0.0,0.0,0.0,1
2002,7,18,-134.24,55.38,0.0125,0.83,0.0104,5.55,1.14,8900.0,211.0,6.0,1
2002,7,19,-132.57,54.3,0.0,0.83,0.0,6.64,0.0,0.0,0.0,0.0,1
2002,7,20,-133.14,53.15,0.0,0.83,0.0,2.99,1.09,0.0,0.0,0.0,1
2002,8,2,-124.93,48.34,0.00104,0.83,0.000863,0.0,1.14,382.0,9.04,0.129,1
2002,8,3,-125.07,47.9,0.0,0.83,0.0,5.15,1.43,0.0,0.0,0.0,1
2002,8,3,-125.22,47.19,0.00107,0.83,0.000888,5.15,1.43,889.0,21.0,0.361,1
2002,8,4,-124.6,46.61,0.0,0.83,0.0,3.8,1.32,0.0,0.0,0.0,1
2002,8,4,-124.24,46.37,0.00108,0.83,0.000896,3.8,1.32,613.0,14.5,0.23,1
2002,8,5,-124.36,46.1,0.0475,0.83,0.0394,3.51,1.56,29300.0,693.0,25.7,1
2002,8,6,-125.27,44.64,0.00396,0.83,0.00329,1.5,1.38,929.0,22.0,0.381,1
2002,8,6,-125.65,43.72,0.0,0.83,0.0,0.22,1.4,0.0,0.0,0.0,1
2002,8,7,-125.82,42.49,0.0,0.83,0.0,10.7,1.22,0.0,0.0,0.0,1
2002,8,8,-124.02,39.25,0.0,0.83,0.0,8.27,1.7,0.0,0.0,0.0,1
2002,8,9,-123.66,38.53,0.0,0.83,0.0,2.7,1.44,0.0,0.0,0.0,1
2002,8,18,-122.54,37.64,0.0,0.83,0.0,0.0,1.27,0.0,0.0,0.0,1
2002,8,19,-122.58,37.3,0.0,0.83,0.0,0.0,1.58,0.0,0.0,0.0,1
2002,8,20,-122.14,36.19,0.0,0.83,0.0,6.53,1.96,0.0,0.0,0.0,1
2002,8,20,-122.24,35.25,0.0,0.83,0.0,6.92,2.02,0.0,0.0,0.0,1
2002,8,21,-119.39,33.97,0.0,0.83,0.0,4.18,1.47,0.0,0.0,0.0,1
2002,10,16,-117.33,32.64,0.0132,0.83,0.011,5.4,1.26,10100.0,240.0,7.04,1
2002,10,17,-118.48,32.91,0.0,0.83,0.0,6.76,1.6,0.0,0.0,0.0,1
2002,10,17,-118.74,32.99,0.0,0.83,0.0,6.76,1.6,0.0,0.0,0.0,1
2002,10,18,-119.57,32.6,0.027,0.83,0.0224,5.42,1.62,26700.0,632.0,22.9,1
2002,10,19,-120.45,32.21,0.00216,0.83,0.00179,5.55,1.35,1830.0,43.3,0.87,1
2002,10,20,-122.45,30.78,0.0,0.83,0.0,7.79,2.01,0.0,0.0,0.0,1
2002,10,21,-121.22,30.28,0.0,0.83,0.0,6.27,2.36,0.0,0.0,0.0,1
2002,10,21,-120.37,30.23,0.0,0.83,0.0,5.94,2.24,0.0,0.0,0.0,1
2002,10,28,-110.19,22.81,0.0,0.83,0.0,8.75,2.0,0.0,0.0,0.0,1
2002,10,30,-110.4,25.51,0.0,0.83,0.0,2.36,0.0,0.0,0.0,0.0,1
2002,10,30,-111.12,26.88,0.00216,0.83,0.00179,1.49,0.0,4270.0,101.0,2.45,1
2002,11,2,-110.55,25.32,0.0,0.83,0.0,1.85,0.0,0.0,0.0,0.0,1
2002,11,5,-110.41,24.29,0.0,0.83,0.0,0.0,0.808,0.0,0.0,0.0,1
2002,11,6,-110.52,24.53,0.0,0.83,0.0,0.0,0.86,0.0,0.0,0.0,1
2002,11,7,-109.8,24.32,0.0,0.83,0.0,5.45,0.0,0.0,0.0,0.0,1
2002,11,7,-109.73,24.08,0.0,0.83,0.0,5.45,0.0,0.0,0.0,0.0,1
2002,11,8,-109.37,23.89,0.00109,0.83,0.000905,5.98,0.0,2160.0,51.0,1.06,1
2002,11,8,-109.02,23.22,0.0,0.83,0.0,5.98,0.0,0.0,0.0,0.0,1
2002,11,9,-108.68,23.05,0.0,0.83,0.0,4.95,0.851,0.0,0.0,0.0,1
2002,11,11,-108.34,21.41,0.0,0.83,0.0,4.5,2.48,0.0,0.0,0.0,1
2002,11,11,-108.3,21.5,0.00108,0.83,0.000896,4.5,2.48,1360.0,32.1,0.604,1
2002,11,12,-108.73,21.24,0.0,0.83,0.0,4.89,2.31,0.0,0.0,0.0,1
2002,11,12,-109.22,20.99,0.0,0.83,0.0,4.82,3.26,0.0,0.0,0.0,1
2002,11,13,-109.7,19.83,0.0,0.83,0.0,6.1,3.06,0.0,0.0,0.0,1
2002,12,2,-105.6,21.44,0.00232,0.83,0.00193,0.0,0.757,4880.0,116.0,2.88,1
2002,12,2,-106.46,22.17,0.0072,0.83,0.00598,5.25,0.62,2640.0,62.5,1.36,1
2002,12,3,-107.51,22.9,0.0,0.83,0.0,6.0,0.81,0.0,0.0,0.0,1
2002,12,3,-107.65,23.34,0.0,0.83,0.0,6.63,0.568,0.0,0.0,0.0,1
